Id,Name,Year,Release Date,Duration,newDirector,newCreator,newActors,newLanguage,newCountry,newGenre
tt0432283,Fantastic Mr. Fox,2009,25 November 2009 (USA),87 min,Wes Anderson,Roald Dahl,George Clooney,English,USA,Animation
tt0432283,Fantastic Mr. Fox,2009,25 November 2009 (USA),87 min,Wes Anderson,Roald Dahl,George Clooney,English,USA,Adventure
tt0432283,Fantastic Mr. Fox,2009,25 November 2009 (USA),87 min,Wes Anderson,Roald Dahl,George Clooney,English,USA,Comedy
tt0432283,Fantastic Mr. Fox,2009,25 November 2009 (USA),87 min,Wes Anderson,Roald Dahl,George Clooney,French,USA,Animation
tt0432283,Fantastic Mr. Fox,2009,25 November 2009 (USA),87 min,Wes Anderson,Roald Dahl,George Clooney,French,USA,Adventure
tt0432283,Fantastic Mr. Fox,2009,25 November 2009 (USA),87 min,Wes Anderson,Roald Dahl,George Clooney,French,USA,Comedy
tt0432283,Fantastic Mr. Fox,2009,25 November 2009 (USA),87 min,Wes Anderson,Wes Anderson,George Clooney,English,USA,Animation
tt0432283,Fantastic Mr. Fox,2009,25 November 2009 (USA),87 min,Wes Anderson,Wes Anderson,George Clooney,English,USA,Adventure
tt0432283,Fantastic Mr. Fox,2009,25 November 2009 (USA),87 min,Wes Anderson,Wes Anderson,George Clooney,English,USA,Comedy
tt0432283,Fantastic Mr. Fox,2009,25 November 2009 (USA),87 min,Wes Anderson,Wes Anderson,George Clooney,French,USA,Animation
tt0432283,Fantastic Mr. Fox,2009,25 November 2009 (USA),87 min,Wes Anderson,Wes Anderson,George Clooney,French,USA,Adventure
tt0432283,Fantastic Mr. Fox,2009,25 November 2009 (USA),87 min,Wes Anderson,Wes Anderson,George Clooney,French,USA,Comedy
tt0032850,North West Mounted Police,1940,22 October 1940 (USA),126 min,Cecil B. DeMille,Alan Le May,Gary Cooper,English,USA,Action
tt0032850,North West Mounted Police,1940,22 October 1940 (USA),126 min,Cecil B. DeMille,Alan Le May,Gary Cooper,English,USA,Adventure
tt0032850,North West Mounted Police,1940,22 October 1940 (USA),126 min,Cecil B. DeMille,Alan Le May,Gary Cooper,English,USA,Drama
tt0032850,North West Mounted Police,1940,22 October 1940 (USA),126 min,Cecil B. DeMille,Alan Le May,Madeleine Carroll,English,USA,Action
