tconst,originalTitle,startYear,runtimeMinutes,Genre,Director,Writer,Actor
tt0005059,The Captive,1915,50,Drama,Cecil B. DeMille,Jeanie Macpherson,Blanche Sweet
tt0005059,The Captive,1915,50,Drama,Cecil B. DeMille,Jeanie Macpherson,House Peters
tt0005059,The Captive,1915,50,Drama,Cecil B. DeMille,Jeanie Macpherson,Page Peters
tt0005059,The Captive,1915,50,Drama,Cecil B. DeMille,Jeanie Macpherson,Gerald Ward
tt0005059,The Captive,1915,50,Romance,Cecil B. DeMille,Jeanie Macpherson,Blanche Sweet
tt0005059,The Captive,1915,50,Romance,Cecil B. DeMille,Jeanie Macpherson,House Peters
tt0005059,The Captive,1915,50,Romance,Cecil B. DeMille,Jeanie Macpherson,Page Peters
tt0005059,The Captive,1915,50,Romance,Cecil B. DeMille,Jeanie Macpherson,Gerald Ward
tt0005059,The Captive,1915,50,War,Cecil B. DeMille,Jeanie Macpherson,Blanche Sweet
tt0005059,The Captive,1915,50,War,Cecil B. DeMille,Jeanie Macpherson,House Peters
tt0005059,The Captive,1915,50,War,Cecil B. DeMille,Jeanie Macpherson,Page Peters
tt0005059,The Captive,1915,50,War,Cecil B. DeMille,Jeanie Macpherson,Gerald Ward
tt0005059,The Captive,1915,50,Drama,Cecil B. DeMille,Cecil B. DeMille,Blanche Sweet
tt0005059,The Captive,1915,50,Drama,Cecil B. DeMille,Cecil B. DeMille,House Peters
tt0005059,The Captive,1915,50,Drama,Cecil B. DeMille,Cecil B. DeMille,Page Peters
tt0005059,The Captive,1915,50,Drama,Cecil B. DeMille,Cecil B. DeMille,Gerald Ward
tt0005059,The Captive,1915,50,Romance,Cecil B. DeMille,Cecil B. DeMille,Blanche Sweet
tt0005059,The Captive,1915,50,Romance,Cecil B. DeMille,Cecil B. DeMille,House Peters
tt0005059,The Captive,1915,50,Romance,Cecil B. DeMille,Cecil B. DeMille,Page Peters
tt0005059,The Captive,1915,50,Romance,Cecil B. DeMille,Cecil B. DeMille,Gerald Ward
tt0005059,The Captive,1915,50,War,Cecil B. DeMille,Cecil B. DeMille,Blanche Sweet
tt0005059,The Captive,1915,50,War,Cecil B. DeMille,Cecil B. DeMille,House Peters
tt0005059,The Captive,1915,50,War,Cecil B. DeMille,Cecil B. DeMille,Page Peters
tt0005059,The Captive,1915,50,War,Cecil B. DeMille,Cecil B. DeMille,Gerald Ward
tt0005078,The Cheat,1915,59,Drama,Cecil B. DeMille,Jeanie Macpherson,Sessue Hayakawa
tt0005078,The Cheat,1915,59,Drama,Cecil B. DeMille,Jeanie Macpherson,James Neill
tt0005078,The Cheat,1915,59,Drama,Cecil B. DeMille,Jeanie Macpherson,Fannie Ward
tt0005078,The Cheat,1915,59,Drama,Cecil B. DeMille,Jeanie Macpherson,Jack Dean
tt0005078,The Cheat,1915,59,Romance,Cecil B. DeMille,Jeanie Macpherson,Sessue Hayakawa
tt0005078,The Cheat,1915,59,Romance,Cecil B. DeMille,Jeanie Macpherson,James Neill
tt0005078,The Cheat,1915,59,Romance,Cecil B. DeMille,Jeanie Macpherson,Fannie Ward
tt0005078,The Cheat,1915,59,Romance,Cecil B. DeMille,Jeanie Macpherson,Jack Dean
tt0005078,The Cheat,1915,59,Drama,Cecil B. DeMille,Hector Turnbull,Sessue Hayakawa
tt0005078,The Cheat,1915,59,Drama,Cecil B. DeMille,Hector Turnbull,James Neill
tt0005078,The Cheat,1915,59,Drama,Cecil B. DeMille,Hector Turnbull,Fannie Ward
tt0005078,The Cheat,1915,59,Drama,Cecil B. DeMille,Hector Turnbull,Jack Dean
tt0005078,The Cheat,1915,59,Romance,Cecil B. DeMille,Hector Turnbull,Sessue Hayakawa
tt0005078,The Cheat,1915,59,Romance,Cecil B. DeMille,Hector Turnbull,James Neill
tt0005078,The Cheat,1915,59,Romance,Cecil B. DeMille,Hector Turnbull,Fannie Ward
tt0005078,The Cheat,1915,59,Romance,Cecil B. DeMille,Hector Turnbull,Jack Dean
tt0005087,Chimmie Fadden Out West,1915,50,Comedy,Cecil B. DeMille,Jeanie Macpherson,Raymond Hatton
tt0005087,Chimmie Fadden Out West,1915,50,Comedy,Cecil B. DeMille,Jeanie Macpherson,Camille Astor
tt0005087,Chimmie Fadden Out West,1915,50,Comedy,Cecil B. DeMille,Jeanie Macpherson,Mrs. Lewis McCord
tt0005087,Chimmie Fadden Out West,1915,50,Comedy,Cecil B. DeMille,Jeanie Macpherson,Victor Moore
tt0005087,Chimmie Fadden Out West,1915,50,Western,Cecil B. DeMille,Jeanie Macpherson,Raymond Hatton
tt0005087,Chimmie Fadden Out West,1915,50,Western,Cecil B. DeMille,Jeanie Macpherson,Camille Astor
tt0005087,Chimmie Fadden Out West,1915,50,Western,Cecil B. DeMille,Jeanie Macpherson,Mrs. Lewis McCord
tt0005087,Chimmie Fadden Out West,1915,50,Western,Cecil B. DeMille,Jeanie Macpherson,Victor Moore
tt0005087,Chimmie Fadden Out West,1915,50,Comedy,Cecil B. DeMille,Cecil B. DeMille,Raymond Hatton
tt0005087,Chimmie Fadden Out West,1915,50,Comedy,Cecil B. DeMille,Cecil B. DeMille,Camille Astor
tt0005087,Chimmie Fadden Out West,1915,50,Comedy,Cecil B. DeMille,Cecil B. DeMille,Mrs. Lewis McCord
tt0005087,Chimmie Fadden Out West,1915,50,Comedy,Cecil B. DeMille,Cecil B. DeMille,Victor Moore
tt0005087,Chimmie Fadden Out West,1915,50,Western,Cecil B. DeMille,Cecil B. DeMille,Raymond Hatton
tt0005087,Chimmie Fadden Out West,1915,50,Western,Cecil B. DeMille,Cecil B. DeMille,Camille Astor
tt0005087,Chimmie Fadden Out West,1915,50,Western,Cecil B. DeMille,Cecil B. DeMille,Mrs. Lewis McCord
tt0005087,Chimmie Fadden Out West,1915,50,Western,Cecil B. DeMille,Cecil B. DeMille,Victor Moore
tt0005087,Chimmie Fadden Out West,1915,50,Comedy,Cecil B. DeMille,E.W. Townsend,Raymond Hatton
tt0005087,Chimmie Fadden Out West,1915,50,Comedy,Cecil B. DeMille,E.W. Townsend,Camille Astor
tt0005087,Chimmie Fadden Out West,1915,50,Comedy,Cecil B. DeMille,E.W. Townsend,Mrs. Lewis McCord
tt0005087,Chimmie Fadden Out West,1915,50,Comedy,Cecil B. DeMille,E.W. Townsend,Victor Moore
tt0005087,Chimmie Fadden Out West,1915,50,Western,Cecil B. DeMille,E.W. Townsend,Raymond Hatton
tt0005087,Chimmie Fadden Out West,1915,50,Western,Cecil B. DeMille,E.W. Townsend,Camille Astor
tt0005087,Chimmie Fadden Out West,1915,50,Western,Cecil B. DeMille,E.W. Townsend,Mrs. Lewis McCord
tt0005087,Chimmie Fadden Out West,1915,50,Western,Cecil B. DeMille,E.W. Townsend,Victor Moore
tt0005402,The Golden Chance,1915,74,Drama,Cecil B. DeMille,Jeanie Macpherson,Wallace Reid
tt0005402,The Golden Chance,1915,74,Drama,Cecil B. DeMille,Jeanie Macpherson,Cleo Ridgely
tt0005402,The Golden Chance,1915,74,Drama,Cecil B. DeMille,Jeanie Macpherson,Horace B. Carpenter
tt0005402,The Golden Chance,1915,74,Drama,Cecil B. DeMille,Jeanie Macpherson,Ernest Joy
tt0005402,The Golden Chance,1915,74,Drama,Cecil B. DeMille,Cecil B. DeMille,Wallace Reid
tt0005402,The Golden Chance,1915,74,Drama,Cecil B. DeMille,Cecil B. DeMille,Cleo Ridgely
tt0005402,The Golden Chance,1915,74,Drama,Cecil B. DeMille,Cecil B. DeMille,Horace B. Carpenter
tt0005402,The Golden Chance,1915,74,Drama,Cecil B. DeMille,Cecil B. DeMille,Ernest Joy
tt0006770,The Heart of Nora Flynn,1916,50,Drama,Cecil B. DeMille,Jeanie Macpherson,Ernest Joy
tt0006770,The Heart of Nora Flynn,1916,50,Drama,Cecil B. DeMille,Jeanie Macpherson,Lola May
tt0006770,The Heart of Nora Flynn,1916,50,Drama,Cecil B. DeMille,Jeanie Macpherson,Marie Doro
tt0006770,The Heart of Nora Flynn,1916,50,Drama,Cecil B. DeMille,Jeanie Macpherson,Elliott Dexter
tt0006770,The Heart of Nora Flynn,1916,50,Drama,Cecil B. DeMille,Hector Turnbull,Ernest Joy
tt0006770,The Heart of Nora Flynn,1916,50,Drama,Cecil B. DeMille,Hector Turnbull,Lola May
tt0006770,The Heart of Nora Flynn,1916,50,Drama,Cecil B. DeMille,Hector Turnbull,Marie Doro
tt0006770,The Heart of Nora Flynn,1916,50,Drama,Cecil B. DeMille,Hector Turnbull,Elliott Dexter
tt0007857,The Devil-Stone,1917,60,Drama,Cecil B. DeMille,Jeanie Macpherson,Hobart Bosworth
tt0007857,The Devil-Stone,1917,60,Drama,Cecil B. DeMille,Jeanie Macpherson,Wallace Reid
tt0007857,The Devil-Stone,1917,60,Drama,Cecil B. DeMille,Jeanie Macpherson,Tully Marshall
tt0007857,The Devil-Stone,1917,60,Drama,Cecil B. DeMille,Jeanie Macpherson,Geraldine Farrar
tt0007857,The Devil-Stone,1917,60,Mystery,Cecil B. DeMille,Jeanie Macpherson,Hobart Bosworth
tt0007857,The Devil-Stone,1917,60,Mystery,Cecil B. DeMille,Jeanie Macpherson,Wallace Reid
tt0007857,The Devil-Stone,1917,60,Mystery,Cecil B. DeMille,Jeanie Macpherson,Tully Marshall
tt0007857,The Devil-Stone,1917,60,Mystery,Cecil B. DeMille,Jeanie Macpherson,Geraldine Farrar
tt0007857,The Devil-Stone,1917,60,Drama,Cecil B. DeMille,Leighton Osmun,Hobart Bosworth
tt0007857,The Devil-Stone,1917,60,Drama,Cecil B. DeMille,Leighton Osmun,Wallace Reid
tt0007857,The Devil-Stone,1917,60,Drama,Cecil B. DeMille,Leighton Osmun,Tully Marshall
tt0007857,The Devil-Stone,1917,60,Drama,Cecil B. DeMille,Leighton Osmun,Geraldine Farrar
tt0007857,The Devil-Stone,1917,60,Mystery,Cecil B. DeMille,Leighton Osmun,Hobart Bosworth
tt0007857,The Devil-Stone,1917,60,Mystery,Cecil B. DeMille,Leighton Osmun,Wallace Reid
tt0007857,The Devil-Stone,1917,60,Mystery,Cecil B. DeMille,Leighton Osmun,Tully Marshall
tt0007857,The Devil-Stone,1917,60,Mystery,Cecil B. DeMille,Leighton Osmun,Geraldine Farrar
tt0007857,The Devil-Stone,1917,60,Drama,Cecil B. DeMille,Beatrice DeMille,Hobart Bosworth
tt0007857,The Devil-Stone,1917,60,Drama,Cecil B. DeMille,Beatrice DeMille,Wallace Reid
tt0007857,The Devil-Stone,1917,60,Drama,Cecil B. DeMille,Beatrice DeMille,Tully Marshall
tt0007857,The Devil-Stone,1917,60,Drama,Cecil B. DeMille,Beatrice DeMille,Geraldine Farrar
