tconst,originalTitle,startYear,runtimeMinutes,Genre,Director,Writer,Actor
tt0049399,Kean - Genio e sregolatezza,1957,83,Biography,Vittorio Gassman,Alexandre Dumas,Vittorio Gassman
tt0049399,Kean - Genio e sregolatezza,1957,83,Drama,Vittorio Gassman,Alexandre Dumas,Vittorio Gassman
tt0049399,Kean - Genio e sregolatezza,1957,83,Biography,Vittorio Gassman,Suso Cecchi D'Amico,Vittorio Gassman
tt0049399,Kean - Genio e sregolatezza,1957,83,Drama,Vittorio Gassman,Suso Cecchi D'Amico,Vittorio Gassman
tt0049399,Kean - Genio e sregolatezza,1957,83,Biography,Vittorio Gassman,Jean-Paul Sartre,Vittorio Gassman
tt0049399,Kean - Genio e sregolatezza,1957,83,Drama,Vittorio Gassman,Jean-Paul Sartre,Vittorio Gassman
tt0049399,Kean - Genio e sregolatezza,1957,83,Biography,Vittorio Gassman,Francesco Rosi,Vittorio Gassman
tt0049399,Kean - Genio e sregolatezza,1957,83,Drama,Vittorio Gassman,Francesco Rosi,Vittorio Gassman
tt0049399,Kean - Genio e sregolatezza,1957,83,Biography,Vittorio Gassman,Luciano Lucignani,Vittorio Gassman
tt0049399,Kean - Genio e sregolatezza,1957,83,Drama,Vittorio Gassman,Luciano Lucignani,Vittorio Gassman
tt0049399,Kean - Genio e sregolatezza,1957,83,Biography,Vittorio Gassman,Vittorio Gassman,Vittorio Gassman
tt0049399,Kean - Genio e sregolatezza,1957,83,Drama,Vittorio Gassman,Vittorio Gassman,Vittorio Gassman
tt0039348,L'ebreo errante,1948,100,Drama,Goffredo Alessandrini,Eugène Sue,Vittorio Gassman
tt0039348,L'ebreo errante,1948,100,Fantasy,Goffredo Alessandrini,Eugène Sue,Vittorio Gassman
tt0039348,L'ebreo errante,1948,100,Drama,Goffredo Alessandrini,Ennio De Concini,Vittorio Gassman
tt0039348,L'ebreo errante,1948,100,Fantasy,Goffredo Alessandrini,Ennio De Concini,Vittorio Gassman
tt0039348,L'ebreo errante,1948,100,Drama,Goffredo Alessandrini,Mario Monicelli,Vittorio Gassman
tt0039348,L'ebreo errante,1948,100,Fantasy,Goffredo Alessandrini,Mario Monicelli,Vittorio Gassman
tt0039348,L'ebreo errante,1948,100,Drama,Goffredo Alessandrini,Aldo Bizzarri,Vittorio Gassman
tt0039348,L'ebreo errante,1948,100,Fantasy,Goffredo Alessandrini,Aldo Bizzarri,Vittorio Gassman
tt0039348,L'ebreo errante,1948,100,Drama,Goffredo Alessandrini,Giovan Battista Angioletti,Vittorio Gassman
tt0039348,L'ebreo errante,1948,100,Fantasy,Goffredo Alessandrini,Giovan Battista Angioletti,Vittorio Gassman
tt0039348,L'ebreo errante,1948,100,Drama,Goffredo Alessandrini,Giorgio Prosperi,Vittorio Gassman
tt0039348,L'ebreo errante,1948,100,Fantasy,Goffredo Alessandrini,Giorgio Prosperi,Vittorio Gassman
tt0039348,L'ebreo errante,1948,100,Drama,Goffredo Alessandrini,Steno,Vittorio Gassman
tt0039348,L'ebreo errante,1948,100,Fantasy,Goffredo Alessandrini,Steno,Vittorio Gassman
tt0039348,L'ebreo errante,1948,100,Drama,Goffredo Alessandrini,Anton Giulio Majano,Vittorio Gassman
tt0039348,L'ebreo errante,1948,100,Fantasy,Goffredo Alessandrini,Anton Giulio Majano,Vittorio Gassman
tt0039348,L'ebreo errante,1948,100,Drama,Goffredo Alessandrini,Goffredo Alessandrini,Vittorio Gassman
tt0039348,L'ebreo errante,1948,100,Fantasy,Goffredo Alessandrini,Goffredo Alessandrini,Vittorio Gassman
tt0039348,L'ebreo errante,1948,100,Drama,Goffredo Alessandrini,Flaminio Bollini,Vittorio Gassman
tt0039348,L'ebreo errante,1948,100,Fantasy,Goffredo Alessandrini,Flaminio Bollini,Vittorio Gassman
tt0039348,L'ebreo errante,1948,100,Drama,Goffredo Alessandrini,Guido De Luca,Vittorio Gassman
tt0039348,L'ebreo errante,1948,100,Fantasy,Goffredo Alessandrini,Guido De Luca,Vittorio Gassman
tt0039348,L'ebreo errante,1948,100,Drama,Goffredo Alessandrini,Enrico Fulchignoni,Vittorio Gassman
tt0039348,L'ebreo errante,1948,100,Fantasy,Goffredo Alessandrini,Enrico Fulchignoni,Vittorio Gassman
tt0039348,L'ebreo errante,1948,100,Drama,Goffredo Alessandrini,Baccio Agnoletti,Vittorio Gassman
tt0039348,L'ebreo errante,1948,100,Fantasy,Goffredo Alessandrini,Baccio Agnoletti,Vittorio Gassman
tt0143945,La Tosca,1973,104,Drama,Luigi Magni,Victorien Sardou,Vittorio Gassman
tt0143945,La Tosca,1973,104,Musical,Luigi Magni,Victorien Sardou,Vittorio Gassman
tt0143945,La Tosca,1973,104,Drama,Luigi Magni,Luigi Magni,Vittorio Gassman
tt0143945,La Tosca,1973,104,Musical,Luigi Magni,Luigi Magni,Vittorio Gassman
tt0084776,Tempest,1982,140,Comedy,Paul Mazursky,William Shakespeare,Vittorio Gassman
tt0084776,Tempest,1982,140,Drama,Paul Mazursky,William Shakespeare,Vittorio Gassman
tt0084776,Tempest,1982,140,Fantasy,Paul Mazursky,William Shakespeare,Vittorio Gassman
tt0084776,Tempest,1982,140,Comedy,Paul Mazursky,Paul Mazursky,Vittorio Gassman
tt0084776,Tempest,1982,140,Drama,Paul Mazursky,Paul Mazursky,Vittorio Gassman
tt0084776,Tempest,1982,140,Fantasy,Paul Mazursky,Paul Mazursky,Vittorio Gassman
tt0084776,Tempest,1982,140,Comedy,Paul Mazursky,Leon Capetanos,Vittorio Gassman
tt0084776,Tempest,1982,140,Drama,Paul Mazursky,Leon Capetanos,Vittorio Gassman
tt0084776,Tempest,1982,140,Fantasy,Paul Mazursky,Leon Capetanos,Vittorio Gassman
tt0039167,Le avventure di Pinocchio,1947,100,Adventure,Gianetto Guardone,Paolo Lorenzini,Vittorio Gassman
tt0039167,Le avventure di Pinocchio,1947,100,Adventure,Gianetto Guardone,Carlo Collodi,Vittorio Gassman
tt0039167,Le avventure di Pinocchio,1947,100,Adventure,Gianetto Guardone,Gian Carlo Fusco,Vittorio Gassman
tt0039167,Le avventure di Pinocchio,1947,100,Adventure,Gianetto Guardone,Gianetto Guardone,Vittorio Gassman
tt0049934,War and Peace,1956,208,Drama,King Vidor,Gian Gaspare Napolitano,Vittorio Gassman
tt0049934,War and Peace,1956,208,Romance,King Vidor,Gian Gaspare Napolitano,Vittorio Gassman
tt0049934,War and Peace,1956,208,War,King Vidor,Gian Gaspare Napolitano,Vittorio Gassman
tt0049934,War and Peace,1956,208,Drama,King Vidor,Lev Tolstoy,Vittorio Gassman
tt0049934,War and Peace,1956,208,Romance,King Vidor,Lev Tolstoy,Vittorio Gassman
tt0049934,War and Peace,1956,208,War,King Vidor,Lev Tolstoy,Vittorio Gassman
tt0049934,War and Peace,1956,208,Drama,King Vidor,Ennio De Concini,Vittorio Gassman
tt0049934,War and Peace,1956,208,Romance,King Vidor,Ennio De Concini,Vittorio Gassman
tt0049934,War and Peace,1956,208,War,King Vidor,Ennio De Concini,Vittorio Gassman
tt0049934,War and Peace,1956,208,Drama,King Vidor,King Vidor,Vittorio Gassman
tt0049934,War and Peace,1956,208,Romance,King Vidor,King Vidor,Vittorio Gassman
tt0049934,War and Peace,1956,208,War,King Vidor,King Vidor,Vittorio Gassman
tt0049934,War and Peace,1956,208,Drama,King Vidor,Elizabeth Hill,Vittorio Gassman
tt0049934,War and Peace,1956,208,Romance,King Vidor,Elizabeth Hill,Vittorio Gassman
tt0049934,War and Peace,1956,208,War,King Vidor,Elizabeth Hill,Vittorio Gassman
tt0049934,War and Peace,1956,208,Drama,King Vidor,Irwin Shaw,Vittorio Gassman
tt0049934,War and Peace,1956,208,Romance,King Vidor,Irwin Shaw,Vittorio Gassman
tt0049934,War and Peace,1956,208,War,King Vidor,Irwin Shaw,Vittorio Gassman
tt0049934,War and Peace,1956,208,Drama,King Vidor,Robert Westerby,Vittorio Gassman
tt0049934,War and Peace,1956,208,Romance,King Vidor,Robert Westerby,Vittorio Gassman
tt0049934,War and Peace,1956,208,War,King Vidor,Robert Westerby,Vittorio Gassman
tt0049934,War and Peace,1956,208,Drama,King Vidor,Bridget Boland,Vittorio Gassman
tt0049934,War and Peace,1956,208,Romance,King Vidor,Bridget Boland,Vittorio Gassman
tt0049934,War and Peace,1956,208,War,King Vidor,Bridget Boland,Vittorio Gassman
tt0049934,War and Peace,1956,208,Drama,King Vidor,Mario Camerini,Vittorio Gassman
tt0049934,War and Peace,1956,208,Romance,King Vidor,Mario Camerini,Vittorio Gassman
tt0049934,War and Peace,1956,208,War,King Vidor,Mario Camerini,Vittorio Gassman
tt0049934,War and Peace,1956,208,Drama,King Vidor,Ivo Perilli,Vittorio Gassman
tt0049934,War and Peace,1956,208,Romance,King Vidor,Ivo Perilli,Vittorio Gassman
tt0049934,War and Peace,1956,208,War,King Vidor,Ivo Perilli,Vittorio Gassman
tt0049934,War and Peace,1956,208,Drama,King Vidor,Mario Soldati,Vittorio Gassman
tt0049934,War and Peace,1956,208,Romance,King Vidor,Mario Soldati,Vittorio Gassman
tt0049934,War and Peace,1956,208,War,King Vidor,Mario Soldati,Vittorio Gassman
tt13892710,A Fandemic: 50 Fans Celebrate 50 Years of Cinema,2021,77,Action,Darren Brown,Quentin Tarantino,Megan Frances
tt13892710,A Fandemic: 50 Fans Celebrate 50 Years of Cinema,2021,77,Action,Darren Brown,Quentin Tarantino,Nici Phoenix
tt13892710,A Fandemic: 50 Fans Celebrate 50 Years of Cinema,2021,77,Action,Darren Brown,Quentin Tarantino,Reese Frances
tt13892710,A Fandemic: 50 Fans Celebrate 50 Years of Cinema,2021,77,Comedy,Darren Brown,Quentin Tarantino,Megan Frances
tt13892710,A Fandemic: 50 Fans Celebrate 50 Years of Cinema,2021,77,Comedy,Darren Brown,Quentin Tarantino,Nici Phoenix
tt13892710,A Fandemic: 50 Fans Celebrate 50 Years of Cinema,2021,77,Comedy,Darren Brown,Quentin Tarantino,Reese Frances
tt13892710,A Fandemic: 50 Fans Celebrate 50 Years of Cinema,2021,77,Horror,Darren Brown,Quentin Tarantino,Megan Frances
tt13892710,A Fandemic: 50 Fans Celebrate 50 Years of Cinema,2021,77,Horror,Darren Brown,Quentin Tarantino,Nici Phoenix
tt13892710,A Fandemic: 50 Fans Celebrate 50 Years of Cinema,2021,77,Horror,Darren Brown,Quentin Tarantino,Reese Frances
tt13892710,A Fandemic: 50 Fans Celebrate 50 Years of Cinema,2021,77,Action,Alex Clegg,Quentin Tarantino,Megan Frances
tt13892710,A Fandemic: 50 Fans Celebrate 50 Years of Cinema,2021,77,Action,Alex Clegg,Quentin Tarantino,Nici Phoenix
tt13892710,A Fandemic: 50 Fans Celebrate 50 Years of Cinema,2021,77,Action,Alex Clegg,Quentin Tarantino,Reese Frances
