tconst,originalTitle,startYear,runtimeMinutes,Genre,Director,Writer,Actor
tt0240772,Ocean's Eleven,2001,116,Crime,Steven Soderbergh,Charles Lederer,George Clooney
tt0240772,Ocean's Eleven,2001,116,Crime,Steven Soderbergh,Charles Lederer,Matt Damon
tt0240772,Ocean's Eleven,2001,116,Thriller,Steven Soderbergh,Charles Lederer,George Clooney
tt0240772,Ocean's Eleven,2001,116,Thriller,Steven Soderbergh,Charles Lederer,Matt Damon
tt0240772,Ocean's Eleven,2001,116,Crime,Steven Soderbergh,Harry Brown,George Clooney
tt0240772,Ocean's Eleven,2001,116,Crime,Steven Soderbergh,Harry Brown,Matt Damon
tt0240772,Ocean's Eleven,2001,116,Thriller,Steven Soderbergh,Harry Brown,George Clooney
tt0240772,Ocean's Eleven,2001,116,Thriller,Steven Soderbergh,Harry Brown,Matt Damon
tt0240772,Ocean's Eleven,2001,116,Crime,Steven Soderbergh,George Clayton Johnson,George Clooney
tt0240772,Ocean's Eleven,2001,116,Crime,Steven Soderbergh,George Clayton Johnson,Matt Damon
tt0240772,Ocean's Eleven,2001,116,Thriller,Steven Soderbergh,George Clayton Johnson,George Clooney
tt0240772,Ocean's Eleven,2001,116,Thriller,Steven Soderbergh,George Clayton Johnson,Matt Damon
tt0240772,Ocean's Eleven,2001,116,Crime,Steven Soderbergh,Jack Golden Russell,George Clooney
tt0240772,Ocean's Eleven,2001,116,Crime,Steven Soderbergh,Jack Golden Russell,Matt Damon
tt0240772,Ocean's Eleven,2001,116,Thriller,Steven Soderbergh,Jack Golden Russell,George Clooney
tt0240772,Ocean's Eleven,2001,116,Thriller,Steven Soderbergh,Jack Golden Russell,Matt Damon
tt0240772,Ocean's Eleven,2001,116,Crime,Steven Soderbergh,Ted Griffin,George Clooney
tt0240772,Ocean's Eleven,2001,116,Crime,Steven Soderbergh,Ted Griffin,Matt Damon
tt0240772,Ocean's Eleven,2001,116,Thriller,Steven Soderbergh,Ted Griffin,George Clooney
