Name,Date,Rate,Votes,Genre,Duration,Type
No Time to Die,2021,7.6,"107,163","Action, Adventure, Thriller",163,Film
The Guilty,2021,6.3,"64,375","Crime, Drama, Thriller",90,Film
The Many Saints of Newark,2021,6.4,"27,145","Crime, Drama",120,Film
Venom: Let There Be Carnage,2021,6.4,"30,443","Action, Adventure, Sci-Fi",97,Film
Dune,2021,8.3,"84,636","Action, Adventure, Drama",155,Film
Ted Lasso,2021,8.8,"117,562","Comedy, Drama, Sport",30,Series
Free Guy,2021,7.3,"153,835","Action, Adventure, Comedy",115,Film
House of the Dragon,2021,No Rate,No Votes,"Action, Adventure, Drama",None,Series
What If...?,2021,7.6,"51,959","Animation, Action, Adventure",None,Series
Sex Education,2021,8.3,"220,201","Comedy, Drama",45,Series
The Walking Dead,2021,8.2,"906,327","Drama, Horror, Thriller",44,Series
The Chestnut Man,2021,7.9,"15,434","Crime, Drama, Mystery",50,Series
Foundation,2021,7.4,"16,675","Drama, Sci-Fi",None,Series
The Sopranos,2021,9.2,"340,006","Crime, Drama",55,Series
Only Murders in the Building,2021,8.3,"22,988","Comedy, Crime, Drama",None,Series
American Horror Story,2021,8.0,"296,306","Drama, Horror, Thriller",60,Series
Seinfeld,2021,8.8,"272,028",Comedy,22,Series
Grey's Anatomy,2021,7.5,"275,094","Drama, Romance",41,Series
Game of Thrones,2021,9.2,"1,885,776","Action, Adventure, Drama",57,Series
Black Widow,2021,6.8,"246,603","Action, Adventure, Sci-Fi",134,Film
The Last Duel,2021,7.7,"6,498","Action, Drama, History",152,Film
Alice in Borderland,2021,7.7,"33,151","Action, Fantasy, Mystery",50,Series
Shang-Chi and the Legend of the Ten Rings,2021,7.9,"109,552","Action, Adventure, Fantasy",132,Film
Billions,2021,8.4,"80,562",Drama,60,Series
Resident Evil: Welcome to Raccoon City,2021,No Rate,No Votes,"Action, Horror, Mystery",107,Film
Spectre,2015,6.8,"407,514","Action, Adventure, Thriller",148,Film
Casino Royale,2006,8.0,"613,873","Action, Adventure, Thriller",144,Film
Lucifer,2006,8.1,"288,801","Crime, Drama, Fantasy",42,Series
The Morning Show,2006,8.4,"73,736",Drama,60,Series
Halloween Kills,2021,6.1,"20,383","Horror, Thriller",105,Film
There's Someone Inside Your House,2021,4.8,"7,724","Horror, Mystery, Thriller",96,Film
Malignant,2021,6.3,"53,31","Crime, Horror, Mystery",111,Film
Wolf,2021,4.1,229,"Drama, Mystery, Thriller",98,Film
La casa de papel,2021,8.2,"393,487","Action, Crime, Drama",70,Series
"Tick, Tick... Boom!",2021,No Rate,No Votes,"Biography, Drama, Musical",115,Film
The Night House,2020,6.5,"14,936","Horror, Mystery, Thriller",107,Film
Succession,2020,8.7,"66,106",Drama,60,Series
