tconst,originalTitle,startYear,runtimeMinutes,Genre,Director,Writer,Actor
tt0120744,The Man in the Iron Mask,1998,132,Action,Randall Wallace,Alexandre Dumas,Leonardo DiCaprio
tt0120744,The Man in the Iron Mask,1998,132,Adventure,Randall Wallace,Alexandre Dumas,Leonardo DiCaprio
tt0120744,The Man in the Iron Mask,1998,132,Drama,Randall Wallace,Alexandre Dumas,Leonardo DiCaprio
tt0120744,The Man in the Iron Mask,1998,132,Action,Randall Wallace,Randall Wallace,Leonardo DiCaprio
tt0120744,The Man in the Iron Mask,1998,132,Adventure,Randall Wallace,Randall Wallace,Leonardo DiCaprio
tt0120744,The Man in the Iron Mask,1998,132,Drama,Randall Wallace,Randall Wallace,Leonardo DiCaprio
tt0117509,Romeo + Juliet,1996,120,Drama,Baz Luhrmann,William Shakespeare,Leonardo DiCaprio
tt0117509,Romeo + Juliet,1996,120,Romance,Baz Luhrmann,William Shakespeare,Leonardo DiCaprio
tt0117509,Romeo + Juliet,1996,120,Drama,Baz Luhrmann,Baz Luhrmann,Leonardo DiCaprio
tt0117509,Romeo + Juliet,1996,120,Romance,Baz Luhrmann,Baz Luhrmann,Leonardo DiCaprio
tt0117509,Romeo + Juliet,1996,120,Drama,Baz Luhrmann,Craig Pearce,Leonardo DiCaprio
tt0117509,Romeo + Juliet,1996,120,Romance,Baz Luhrmann,Craig Pearce,Leonardo DiCaprio
tt0075968,The Duellists,1977,100,Drama,Ridley Scott,Joseph Conrad,Albert Finney
tt0075968,The Duellists,1977,100,Drama,Ridley Scott,Joseph Conrad,Edward Fox
tt0075968,The Duellists,1977,100,Drama,Ridley Scott,Joseph Conrad,Harvey Keitel
tt0075968,The Duellists,1977,100,Drama,Ridley Scott,Joseph Conrad,Keith Carradine
tt0075968,The Duellists,1977,100,War,Ridley Scott,Joseph Conrad,Albert Finney
tt0075968,The Duellists,1977,100,War,Ridley Scott,Joseph Conrad,Edward Fox
tt0075968,The Duellists,1977,100,War,Ridley Scott,Joseph Conrad,Harvey Keitel
tt0075968,The Duellists,1977,100,War,Ridley Scott,Joseph Conrad,Keith Carradine
tt0075968,The Duellists,1977,100,Drama,Ridley Scott,Gerald Vaughan-Hughes,Albert Finney
tt0075968,The Duellists,1977,100,Drama,Ridley Scott,Gerald Vaughan-Hughes,Edward Fox
tt0075968,The Duellists,1977,100,Drama,Ridley Scott,Gerald Vaughan-Hughes,Harvey Keitel
tt0075968,The Duellists,1977,100,Drama,Ridley Scott,Gerald Vaughan-Hughes,Keith Carradine
tt0075968,The Duellists,1977,100,War,Ridley Scott,Gerald Vaughan-Hughes,Albert Finney
tt0075968,The Duellists,1977,100,War,Ridley Scott,Gerald Vaughan-Hughes,Edward Fox
tt0075968,The Duellists,1977,100,War,Ridley Scott,Gerald Vaughan-Hughes,Harvey Keitel
tt0075968,The Duellists,1977,100,War,Ridley Scott,Gerald Vaughan-Hughes,Keith Carradine
tt1343092,The Great Gatsby,2013,143,Drama,Baz Luhrmann,F. Scott Fitzgerald,Leonardo DiCaprio
tt1343092,The Great Gatsby,2013,143,Romance,Baz Luhrmann,F. Scott Fitzgerald,Leonardo DiCaprio
tt1343092,The Great Gatsby,2013,143,Drama,Baz Luhrmann,Baz Luhrmann,Leonardo DiCaprio
tt1343092,The Great Gatsby,2013,143,Romance,Baz Luhrmann,Baz Luhrmann,Leonardo DiCaprio
tt1343092,The Great Gatsby,2013,143,Drama,Baz Luhrmann,Craig Pearce,Leonardo DiCaprio
tt1343092,The Great Gatsby,2013,143,Romance,Baz Luhrmann,Craig Pearce,Leonardo DiCaprio
tt2243597,The King of Ads,1991,74,Documentary,Ridley Scott,Jean-Marie Boursicot,Vanessa Paradis
tt8293244,"The King of Ads, Part 2",1993,56,Documentary,Ridley Scott,Jean-Marie Boursicot,Carole Bouquet
tt0120533,Celebrity,1998,113,Comedy,Woody Allen,Woody Allen,Leonardo DiCaprio
tt0120533,Celebrity,1998,113,Drama,Woody Allen,Woody Allen,Leonardo DiCaprio
tt0078748,Alien,1979,117,Horror,Ridley Scott,Ronald Shusett,Veronica Cartwright
tt0078748,Alien,1979,117,Horror,Ridley Scott,Ronald Shusett,John Hurt
tt0078748,Alien,1979,117,Horror,Ridley Scott,Ronald Shusett,Tom Skerritt
