Id,Name,Year,Release Date,Duration,newDirector,newCreator,newActors,newLanguage,newCountry,newGenre
tt1028528,Death Proof,2007,31 May 2007 (Hungary),113 min,Quentin Tarantino,Quentin Tarantino,Kurt Russell,English,USA,Thriller
tt1028528,Death Proof,2007,31 May 2007 (Hungary),113 min,Quentin Tarantino,Quentin Tarantino,Zoë Bell,English,USA,Thriller
tt1028528,Death Proof,2007,31 May 2007 (Hungary),113 min,Quentin Tarantino,Quentin Tarantino,Rosario Dawson,English,USA,Thriller
tt0108399,True Romance,1993,10 September 1993 (USA),120 min,Tony Scott,Quentin Tarantino,Christian Slater,English,USA,Crime
tt0108399,True Romance,1993,10 September 1993 (USA),120 min,Tony Scott,Quentin Tarantino,Christian Slater,English,USA,Drama
tt0108399,True Romance,1993,10 September 1993 (USA),120 min,Tony Scott,Quentin Tarantino,Christian Slater,English,USA,Thriller
tt0108399,True Romance,1993,10 September 1993 (USA),120 min,Tony Scott,Quentin Tarantino,Christian Slater,English,France,Crime
tt0108399,True Romance,1993,10 September 1993 (USA),120 min,Tony Scott,Quentin Tarantino,Christian Slater,English,France,Drama
tt0108399,True Romance,1993,10 September 1993 (USA),120 min,Tony Scott,Quentin Tarantino,Christian Slater,English,France,Thriller
tt0108399,True Romance,1993,10 September 1993 (USA),120 min,Tony Scott,Quentin Tarantino,Christian Slater,Italian,USA,Crime
tt0108399,True Romance,1993,10 September 1993 (USA),120 min,Tony Scott,Quentin Tarantino,Christian Slater,Italian,USA,Drama
tt0108399,True Romance,1993,10 September 1993 (USA),120 min,Tony Scott,Quentin Tarantino,Christian Slater,Italian,USA,Thriller
tt0108399,True Romance,1993,10 September 1993 (USA),120 min,Tony Scott,Quentin Tarantino,Christian Slater,Italian,France,Crime
tt0108399,True Romance,1993,10 September 1993 (USA),120 min,Tony Scott,Quentin Tarantino,Christian Slater,Italian,France,Drama
tt0108399,True Romance,1993,10 September 1993 (USA),120 min,Tony Scott,Quentin Tarantino,Christian Slater,Italian,France,Thriller
tt0108399,True Romance,1993,10 September 1993 (USA),120 min,Tony Scott,Quentin Tarantino,Patricia Arquette,English,USA,Crime
tt0108399,True Romance,1993,10 September 1993 (USA),120 min,Tony Scott,Quentin Tarantino,Patricia Arquette,English,USA,Drama
tt0108399,True Romance,1993,10 September 1993 (USA),120 min,Tony Scott,Quentin Tarantino,Patricia Arquette,English,USA,Thriller
tt0108399,True Romance,1993,10 September 1993 (USA),120 min,Tony Scott,Quentin Tarantino,Patricia Arquette,English,France,Crime
tt0108399,True Romance,1993,10 September 1993 (USA),120 min,Tony Scott,Quentin Tarantino,Patricia Arquette,English,France,Drama
