Year,Id*tt0086979,Id*tt0093822,Id*tt0100150,Id*tt0101410,Id*tt0110074,Id*tt0116282,Id*tt0118715,Id*tt0145681,Id*tt0146316,Id*tt0172493,Id*tt0187078,Id*tt0190590,Id*tt0218922,Id*tt0243133,Id*tt0282687,Id*tt0294357,Id*tt0325703,Id*tt0335245,Id*tt0346156,Id*tt0356910,Id*tt0364045,Id*tt0441773,Id*tt0442933,Id*tt0477348,Id*tt0493464,Id*tt0824747,Id*tt0829459,Id*tt0887883,Id*tt0944835,Id*tt1019452,Id*tt1243957,Id*tt1302011,Id*tt1403865,Id*tt1587310,Id*tt1809398,Id*tt2042568,Id*tt3682448,Name*A Mighty Heart,Name*A Serious Man,Name*Barton Fink,Name*Beowulf,Name*Beyond Borders,Name*Blood Simple.,Name*Bridge of Spies,Name*Burn After Reading,Name*Changeling,Name*Fargo,"Name*Girl, Interrupted",Name*Gone in Sixty Seconds,Name*Inside Llewyn Davis,Name*Kung Fu Panda,Name*Kung Fu Panda 2,Name*Lara Croft Tomb Raider: The Cradle of Life,Name*Lara Croft: Tomb Raider,Name*Life or Something Like It,Name*Maleficent,Name*Miller's Crossing,Name*Mr. & Mrs. Smith,Name*No Country for Old Men,"Name*O Brother, Where Art Thou?",Name*Original Sin,Name*Raising Arizona,Name*Salt,Name*Sky Captain and the World of Tomorrow,Name*Taking Lives,Name*The Big Lebowski,Name*The Bone Collector,Name*The Hudsucker Proxy,Name*The Ladykillers,Name*The Man Who Wasn't There,Name*The Tourist,Name*True Grit,Name*Unbroken,Name*Wanted,Release Date*10 December 2010 (USA),Release Date*10 January 2014 (USA),Release Date*10 June 2005 (USA),Release Date*11 March 1994 (USA),Release Date*12 September 2008 (USA),Release Date*14 January 2000 (USA),Release Date*15 June 2001 (USA),Release Date*16 November 2001 (USA),Release Date*16 November 2007 (USA),Release Date*16 October 2015 (USA),Release Date*17 April 1987 (USA),Release Date*17 September 2004 (USA),Release Date*18 January 1985 (USA),Release Date*19 March 2004 (USA),Release Date*2 February 2001 (USA),Release Date*21 August 1991 (USA),Release Date*21 November 2007 (USA),Release Date*22 December 2010 (USA),Release Date*22 June 2007 (USA),Release Date*23 July 2010 (USA),Release Date*24 October 2003 (USA),Release Date*25 December 2014 (USA),Release Date*25 July 2003 (USA),Release Date*26 April 2002 (USA),Release Date*26 March 2004 (USA),Release Date*26 May 2011 (USA),Release Date*27 June 2008 (USA),Release Date*3 August 2001 (USA),Release Date*30 May 2014 (USA),Release Date*31 October 2008 (USA),Release Date*5 April 1996 (USA),Release Date*5 November 1999 (USA),Release Date*5 October 1990 (USA),Release Date*6 June 2008 (USA),Release Date*6 March 1998 (USA),Release Date*6 November 2009 (USA),Release Date*9 June 2000 (USA),Duration*100 min,Duration*103 min,Duration*104 min,Duration*106 min,Duration*108 min,Duration*110 min,Duration*111 min,Duration*115 min,Duration*116 min,Duration*117 min,Duration*118 min,Duration*120 min,Duration*122 min,Duration*127 min,Duration*135 min,Duration*137 min,Duration*141 min,Duration*91 min,Duration*92 min,Duration*94 min,Duration*96 min,Duration*97 min,Duration*98 min,Duration*99 min,newDirector*Angelina Jolie,newDirector*Clint Eastwood,newDirector*D.J. Caruso,newDirector*Dominic Sena,newDirector*Doug Liman,newDirector*Ethan Coen,newDirector*Florian Henckel von Donnersmarck,newDirector*James Mangold,newDirector*Jan de Bont,newDirector*Jennifer Yuh,newDirector*Joel Coen,newDirector*John Stevenson,newDirector*Kerry Conran,newDirector*Mark Osborne,newDirector*Martin Campbell,newDirector*Michael Cristofer,newDirector*Michael Winterbottom,newDirector*Phillip Noyce,newDirector*Robert Stromberg,newDirector*Robert Zemeckis,newDirector*Simon West,newDirector*Stephen Herek,newDirector*Steven Spielberg,newDirector*Timur Bekmambetov,newCreator*Caspian Tredwell-Owen,newCreator*Charles Perrault,newCreator*Christopher McQuarrie,newCreator*Cornell Woolrich,newCreator*Dean Georgaris,newCreator*Derek Haas,newCreator*Ethan Coen,newCreator*Florian Henckel von Donnersmarck,newCreator*Glenn Berger,newCreator*H.B. Halicki,newCreator*J. Michael Straczynski,newCreator*James Mangold,newCreator*Jeffery Deaver,newCreator*Jeremy Iacone,newCreator*Joel Coen,newCreator*John Orloff,newCreator*John Scott Shepherd,newCreator*Jon Bokenkamp,newCreator*Jonathan Aibel,newCreator*Kerry Conran,newCreator*Kurt Wimmer,newCreator*Linda Woolverton,newCreator*Mariane Pearl,newCreator*Michael Brandt,newCreator*Michael Cristofer,newCreator*Michael Pye,newCreator*Mike Werb,newCreator*Neil Gaiman,newCreator*Roger Avary,newCreator*Sara B. Cooper,newCreator*Scott Rosenberg,newCreator*Simon Kinberg,newCreator*Steven E. de Souza,newCreator*Susanna Kaysen,newActors*Alan Alda,newActors*Albert Finney,newActors*Amy Ryan,newActors*Angelina Jolie,newActors*Billy Bob Thornton,newActors*Brad Pitt,newActors*Carey Mulligan,newActors*Dan Hedaya,newActors*Domhnall Gleeson,newActors*Frances McDormand,newActors*Gabriel Byrne,newActors*George Clooney,newActors*Hailee Steinfeld,newActors*Holly Hunter,newActors*Irma P. Hall,newActors*Jack O'Connell,newActors*Javier Bardem,newActors*Jeff Bridges,newActors*Jennifer Jason Leigh,newActors*John Getz,newActors*John Goodman,newActors*John Turturro,newActors*Josh Brolin,newActors*Judy Davis,newActors*Julianne Moore,newActors*Marlon Wayans,newActors*Matt Damon,newActors*Michael Badalucco,newActors*Michael Stuhlbarg,newActors*Miyavi,newActors*Nicolas Cage,newActors*Oscar Isaac,newActors*Paul Newman,newActors*Richard Kind,newActors*Sari Lennick,newActors*Steve Buscemi,newActors*Tim Blake Nelson,newActors*Tim Robbins,newActors*Tom Hanks,newActors*Tommy Lee Jones,newActors*Trey Wilson,newActors*William H. Macy,newGenre*Action,newGenre*Adventure,newGenre*Animation,newGenre*Biography,newGenre*Comedy,newGenre*Crime,newGenre*Drama,newGenre*Family,newGenre*Fantasy,newGenre*History,newGenre*Music,newGenre*Mystery,newGenre*Romance,newGenre*Sport,newGenre*Thriller,newGenre*Western
2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
