Id,Name,Year,Release Date,Duration,newDirector,newCreator,newActors,newLanguage,newCountry,newGenre
tt0454848,Inside Man,2006,24 March 2006 (USA),129 min,Spike Lee,Russell Gewirtz,Jodie Foster,English,USA,Crime
tt0454848,Inside Man,2006,24 March 2006 (USA),129 min,Spike Lee,Russell Gewirtz,Jodie Foster,English,USA,Drama
tt0454848,Inside Man,2006,24 March 2006 (USA),129 min,Spike Lee,Russell Gewirtz,Jodie Foster,English,USA,Mystery
tt0454848,Inside Man,2006,24 March 2006 (USA),129 min,Spike Lee,Russell Gewirtz,Jodie Foster,Albanian,USA,Crime
tt0454848,Inside Man,2006,24 March 2006 (USA),129 min,Spike Lee,Russell Gewirtz,Jodie Foster,Albanian,USA,Drama
tt0454848,Inside Man,2006,24 March 2006 (USA),129 min,Spike Lee,Russell Gewirtz,Jodie Foster,Albanian,USA,Mystery
tt0454848,Inside Man,2006,24 March 2006 (USA),129 min,Spike Lee,Russell Gewirtz,Jodie Foster,Spanish,USA,Crime
tt0454848,Inside Man,2006,24 March 2006 (USA),129 min,Spike Lee,Russell Gewirtz,Jodie Foster,Spanish,USA,Drama
tt0454848,Inside Man,2006,24 March 2006 (USA),129 min,Spike Lee,Russell Gewirtz,Jodie Foster,Spanish,USA,Mystery
tt0110478,Maverick,1994,20 May 1994 (USA),127 min,Richard Donner,Roy Huggins,Jodie Foster,English,USA,Action
tt0110478,Maverick,1994,20 May 1994 (USA),127 min,Richard Donner,Roy Huggins,Jodie Foster,English,USA,Adventure
tt0110478,Maverick,1994,20 May 1994 (USA),127 min,Richard Donner,Roy Huggins,Jodie Foster,English,USA,Comedy
tt0110478,Maverick,1994,20 May 1994 (USA),127 min,Richard Donner,William Goldman,Jodie Foster,English,USA,Action
tt0110478,Maverick,1994,20 May 1994 (USA),127 min,Richard Donner,William Goldman,Jodie Foster,English,USA,Adventure
tt0110478,Maverick,1994,20 May 1994 (USA),127 min,Richard Donner,William Goldman,Jodie Foster,English,USA,Comedy
tt0476964,The Brave One,2007,14 September 2007 (USA),122 min,Neil Jordan,Roderick Taylor,Jodie Foster,English,USA,Crime
tt0476964,The Brave One,2007,14 September 2007 (USA),122 min,Neil Jordan,Roderick Taylor,Jodie Foster,English,USA,Drama
tt0476964,The Brave One,2007,14 September 2007 (USA),122 min,Neil Jordan,Roderick Taylor,Jodie Foster,English,USA,Thriller
tt0476964,The Brave One,2007,14 September 2007 (USA),122 min,Neil Jordan,Roderick Taylor,Jodie Foster,English,Australia,Crime
tt0476964,The Brave One,2007,14 September 2007 (USA),122 min,Neil Jordan,Roderick Taylor,Jodie Foster,English,Australia,Drama
tt0476964,The Brave One,2007,14 September 2007 (USA),122 min,Neil Jordan,Roderick Taylor,Jodie Foster,English,Australia,Thriller
tt0476964,The Brave One,2007,14 September 2007 (USA),122 min,Neil Jordan,Bruce A. Taylor,Jodie Foster,English,USA,Crime
tt0476964,The Brave One,2007,14 September 2007 (USA),122 min,Neil Jordan,Bruce A. Taylor,Jodie Foster,English,USA,Drama
tt0476964,The Brave One,2007,14 September 2007 (USA),122 min,Neil Jordan,Bruce A. Taylor,Jodie Foster,English,USA,Thriller
