tconst,originalTitle,startYear,runtimeMinutes,Genre,Director,Writer,Actor
tt0110478,Maverick,1994,127,Action,Richard Donner,Roy Huggins,Jodie Foster
tt0110478,Maverick,1994,127,Adventure,Richard Donner,Roy Huggins,Jodie Foster
tt0110478,Maverick,1994,127,Comedy,Richard Donner,Roy Huggins,Jodie Foster
tt0110478,Maverick,1994,127,Action,Richard Donner,William Goldman,Jodie Foster
tt0110478,Maverick,1994,127,Adventure,Richard Donner,William Goldman,Jodie Foster
tt0110478,Maverick,1994,127,Comedy,Richard Donner,William Goldman,Jodie Foster
tt0108185,Sommersby,1993,114,Drama,Jon Amiel,Anthony Shaffer,Jodie Foster
tt0108185,Sommersby,1993,114,Mystery,Jon Amiel,Anthony Shaffer,Jodie Foster
tt0108185,Sommersby,1993,114,Romance,Jon Amiel,Anthony Shaffer,Jodie Foster
tt0108185,Sommersby,1993,114,Drama,Jon Amiel,Jean-Claude Carrière,Jodie Foster
tt0108185,Sommersby,1993,114,Mystery,Jon Amiel,Jean-Claude Carrière,Jodie Foster
tt0108185,Sommersby,1993,114,Romance,Jon Amiel,Jean-Claude Carrière,Jodie Foster
tt0108185,Sommersby,1993,114,Drama,Jon Amiel,Nicholas Meyer,Jodie Foster
tt0108185,Sommersby,1993,114,Mystery,Jon Amiel,Nicholas Meyer,Jodie Foster
tt0108185,Sommersby,1993,114,Romance,Jon Amiel,Nicholas Meyer,Jodie Foster
tt0108185,Sommersby,1993,114,Drama,Jon Amiel,Sarah Kernochan,Jodie Foster
tt0108185,Sommersby,1993,114,Mystery,Jon Amiel,Sarah Kernochan,Jodie Foster
tt0108185,Sommersby,1993,114,Romance,Jon Amiel,Sarah Kernochan,Jodie Foster
tt0108185,Sommersby,1993,114,Drama,Jon Amiel,Daniel Vigne,Jodie Foster
tt0108185,Sommersby,1993,114,Mystery,Jon Amiel,Daniel Vigne,Jodie Foster
tt0108185,Sommersby,1993,114,Romance,Jon Amiel,Daniel Vigne,Jodie Foster
tt0074459,Echoes of a Summer,1976,99,Drama,Don Taylor,Robert L. Joseph,Jodie Foster
tt0344510,Un long dimanche de fiançailles,2004,133,Drama,Jean-Pierre Jeunet,Sébastien Japrisot,Jodie Foster
tt0344510,Un long dimanche de fiançailles,2004,133,Mystery,Jean-Pierre Jeunet,Sébastien Japrisot,Jodie Foster
tt0344510,Un long dimanche de fiançailles,2004,133,Romance,Jean-Pierre Jeunet,Sébastien Japrisot,Jodie Foster
tt0344510,Un long dimanche de fiançailles,2004,133,Drama,Jean-Pierre Jeunet,Guillaume Laurant,Jodie Foster
tt0344510,Un long dimanche de fiançailles,2004,133,Mystery,Jean-Pierre Jeunet,Guillaume Laurant,Jodie Foster
tt0344510,Un long dimanche de fiançailles,2004,133,Romance,Jean-Pierre Jeunet,Guillaume Laurant,Jodie Foster
tt0344510,Un long dimanche de fiançailles,2004,133,Drama,Jean-Pierre Jeunet,Jean-Pierre Jeunet,Jodie Foster
tt0344510,Un long dimanche de fiançailles,2004,133,Mystery,Jean-Pierre Jeunet,Jean-Pierre Jeunet,Jodie Foster
tt0344510,Un long dimanche de fiançailles,2004,133,Romance,Jean-Pierre Jeunet,Jean-Pierre Jeunet,Jodie Foster
tt0080756,Foxes,1980,106,Drama,Adrian Lyne,Gerald Ayres,Jodie Foster
tt0102316,Little Man Tate,1991,99,Drama,Jodie Foster,Scott Frank,Jodie Foster
tt0102316,Little Man Tate,1991,99,Drama,Jodie Foster,Scott Frank,Dianne Wiest
tt0102316,Little Man Tate,1991,99,Drama,Jodie Foster,Scott Frank,Adam Hann-Byrd
tt0102316,Little Man Tate,1991,99,Drama,Jodie Foster,Scott Frank,Alex Lee
tt0096171,Stealing Home,1988,98,Drama,Steven Kampmann,William Porter,Jodie Foster
tt0096171,Stealing Home,1988,98,Romance,Steven Kampmann,William Porter,Jodie Foster
tt0096171,Stealing Home,1988,98,Sport,Steven Kampmann,William Porter,Jodie Foster
tt0096171,Stealing Home,1988,98,Drama,William Porter,William Porter,Jodie Foster
tt0096171,Stealing Home,1988,98,Romance,William Porter,William Porter,Jodie Foster
tt0096171,Stealing Home,1988,98,Sport,William Porter,William Porter,Jodie Foster
tt0096171,Stealing Home,1988,98,Drama,Steven Kampmann,Steven Kampmann,Jodie Foster
tt0096171,Stealing Home,1988,98,Romance,Steven Kampmann,Steven Kampmann,Jodie Foster
tt0096171,Stealing Home,1988,98,Sport,Steven Kampmann,Steven Kampmann,Jodie Foster
tt0096171,Stealing Home,1988,98,Drama,William Porter,Steven Kampmann,Jodie Foster
tt0096171,Stealing Home,1988,98,Romance,William Porter,Steven Kampmann,Jodie Foster
tt0096171,Stealing Home,1988,98,Sport,William Porter,Steven Kampmann,Jodie Foster
tt0074806,The Little Girl Who Lives Down the Lane,1976,91,Drama,Nicolas Gessner,Laird Koenig,Jodie Foster
tt0074806,The Little Girl Who Lives Down the Lane,1976,91,Horror,Nicolas Gessner,Laird Koenig,Jodie Foster
tt0074806,The Little Girl Who Lives Down the Lane,1976,91,Mystery,Nicolas Gessner,Laird Koenig,Jodie Foster
tt0075815,Casotto,1977,106,Comedy,Sergio Citti,Vincenzo Cerami,Jodie Foster
tt0075815,Casotto,1977,106,Comedy,Sergio Citti,Sergio Citti,Jodie Foster
tt1692486,Carnage,2011,80,Comedy,Roman Polanski,Roman Polanski,Jodie Foster
tt1692486,Carnage,2011,80,Drama,Roman Polanski,Roman Polanski,Jodie Foster
tt1692486,Carnage,2011,80,Comedy,Roman Polanski,Michael Katims,Jodie Foster
